length,percentage
1,0.003975516781106074
2,3.367043855746221e-05
3,9.620125302132061e-06
4,4.8100626510660305e-06
5,7.215093976599045e-06
6,2.4050313255330153e-06
7,2.4050313255330153e-06
8,0.14946307675657475
9,0.20897076684423815
10,0.21524308854122826
11,0.16185379814572085
12,0.10490987145107565
13,0.06207626354333265
14,0.035996103849252635
15,0.020591878209213675
16,0.012335405668658834
17,0.007551798362173667
18,0.004990440000481006
19,0.003362233793095155
20,0.0022054137255137747
21,0.0016570665832922474
22,0.0011736552868601114
23,0.000793660337425895
24,0.0005916377060811217
25,0.0004617660145023389
26,0.000324679228946957
27,0.0002886037590639618
28,0.00014911194218304694
29,0.00012025156627665076
30,0.00010341634699791964
31,8.177106506812251e-05
32,9.139119037025457e-05
33,6.253081446385839e-05
34,6.49358457893914e-05
35,8.177106506812251e-05
36,3.8480501208528244e-05
37,1.9240250604264122e-05
38,4.81006265106603e-05
39,2.886037590639618e-05
40,3.607546988299523e-05
41,3.367043855746221e-05
42,2.886037590639618e-05
43,2.405031325533015e-05
44,1.9240250604264122e-05
45,2.405031325533015e-05
46,1.9240250604264122e-05
47,1.9240250604264122e-05
48,4.8100626510660305e-06
49,1.443018795319809e-05
51,4.8100626510660305e-06
52,2.4050313255330153e-06
179,2.4050313255330153e-06
