length,percentage
2,3.473307630856865e-05
3,0.00015050999733713083
4,0.013522744376136061
5,0.020978778090375464
6,0.03936415314971114
7,0.053130029060007175
8,0.06803051879638312
9,0.07275421717434846
10,0.08509603695599319
11,0.09299202297014113
12,0.08154168548041633
13,0.07780209093119378
14,0.06114179199518368
15,0.051254442939344474
16,0.04147129311243097
17,0.03455941092702581
18,0.030924015606728954
19,0.02466048417908374
20,0.021823949613883967
21,0.019415789656489876
22,0.016602410475495814
23,0.016475055862364398
24,0.013013325923610387
25,0.011346138260799093
26,0.009354775219107823
27,0.008880089842890718
28,0.006877149109096593
29,0.00547624836465099
30,0.005128917601565304
31,0.0042837460780568
32,0.002824956873096917
33,0.0023386938047769558
34,0.0018061199680455698
35,0.0011693469023884779
36,0.0010535699813599157
37,0.0009030599840227849
38,0.0006599284498628044
39,0.0004167969157028238
40,0.00032417537887997406
41,4.6310768411424864e-05
42,0.0001389323052342746
43,4.6310768411424864e-05
44,4.6310768411424864e-05
45,4.6310768411424864e-05
46,4.6310768411424864e-05
49,4.6310768411424864e-05
